DATE,ET,EP,BSS,RF,WD,WD1,WS,DT1,WT1,DT2,WT2,MAXT,MINT,RH11,RH22,VP11,VP22,CLOUDM,CLOUDE,SOIL1,SOIL2,SOIL3,SOIL4,SOIL5,SOIL6,MinTtest,MaxTtest1,MaxTtest2
1/01/1989,0.3,2.0,10.1,0.0,CA,WS,2.6,10.2,9.4,29.8,18.0,31.3,9.8,90.0,26.0,8.4,8.3,,,15.3,19.2,22.0,35.0,27.6,24.2,0.4,,1.5
2/01/1989,0.3,2.6,10.0,0.0,CA,NW,1.4,10.2,9.5,28.0,16.7,30.3,9.7,91.0,26.0,8.5,7.4,,,15.3,19.1,22.0,34.5,27.4,24.0,0.5,0.5,2.3
3/01/1989,0.3,3.6,9.5,0.0,CA,EN,3.5,11.2,10.0,24.8,15.0,28.2,10.8,85.0,29.0,8.5,6.9,,,16.0,19.6,22.5,33.4,26.9,24.0,0.4,0.2,3.4
4/01/1989,0.2,4.2,9.4,0.0,CA,E,3.1,10.0,7.6,26.4,16.0,25.4,8.6,69.0,28.0,6.4,7.3,,,13.6,17.9,21.3,34.5,27.1,23.5,1.4,0.6,-1.0
5/01/1989,-1.0,3.6,9.7,0.0,CA,SE,1.9,9.5,8.5,28.5,18.6,27.8,9.1,87.0,34.0,7.7,10.0,,,14.0,17.9,21.0,35.0,27.1,24.5,0.4,1.4,-0.7
6/01/1989,2.2,3.8,9.7,0.0,CA,SW,1.3,11.0,10.8,26.5,17.6,29.3,10.5,97.0,37.0,9.6,9.7,,,15.4,18.9,21.5,34.0,27.0,23.8,0.5,0.8,2.8
7/01/1989,2.1,3.2,9.2,0.0,CA,N,1.8,14.0,13.5,19.4,17.3,27.7,12.8,94.0,80.0,11.0,14.0,,,17.7,20.1,22.4,26.7,25.4,24.0,1.2,1.2,8.3
8/01/1989,2.9,2.6,3.2,4.0,CA,NE,5.0,11.2,11.0,20.8,13.0,24.2,10.8,98.0,35.0,9.7,6.5,,,13.0,17.6,20.7,30.0,25.3,27.8,0.4,4.8,3.4
9/01/1989,1.2,4.4,10.0,0.0,CA,EN,4.6,10.0,8.0,22.0,12.8,21.2,8.3,74.0,28.0,6.9,5.5,,,10.4,15.0,18.7,29.8,24.5,21.5,1.7,0.4,-0.8
10/01/1989,2.2,3.4,10.3,0.0,NE,NE,6.1,9.6,7.6,23.7,13.6,22.2,9.0,74.0,25.0,6.6,5.6,,,11.2,15.2,18.5,31.6,25.2,21.4,0.6,0.2,-1.5
11/01/1989,2.1,4.5,10.4,0.0,EN,NN,4.2,9.0,6.7,23.7,13.4,23.8,8.3,70.0,24.0,6.0,5.3,,,10.7,14.7,18.4,31.2,24.9,21.2,0.7,0.1,0.1
12/01/1989,2.0,3.7,10.3,0.0,EN,NE,4.2,9.5,6.3,25.3,14.3,23.7,7.5,59.0,23.0,5.3,5.6,,,10.7,14.7,18.4,31.4,25.2,21.3,2.0,0.0,-1.6
