Date,ET,EP,BSS,RF,WD,WD1,WS,DT1,WT1,DT2,WT2,MAXT,MINT,RH11,RH22,VP11,VP22,CLOUDM,CLOUDE,SOIL1,SOIL2,SOIL3,SOIL4,SOIL5,SOIL6,MinTtest,MaxTtest1,MaxTtest2
1/1/1989,0.3,2,10.1,0,CA,WS,2.6,10.2,9.4,29.8,18,31.3,9.8,90,26,8.4,8.3,0,0,15.3,19.2,22,35,27.6,24.2,0.4,0,1.5
1/2/1989,0.3,2.6,10,0,CA,NW,1.4,10.2,9.5,28,16.7,30.3,9.7,91,26,8.5,7.4,0,0,15.3,19.1,22,34.5,27.4,24,0.5,0.5,2.3
1/3/1989,0.3,3.6,9.5,0,CA,EN,3.5,11.2,10,24.8,15,28.2,10.8,85,29,8.5,6.9,0,0,16,19.6,22.5,33.4,26.9,24,0.4,0.2,3.4
1/4/1989,0.2,4.2,9.4,0,CA,E,3.1,10,7.6,26.4,16,25.4,8.6,69,28,6.4,7.3,0,0,13.6,17.9,21.3,34.5,27.1,23.5,1.4,0.6,-1
1/5/1989,-1,3.6,9.7,0,CA,SE,1.9,9.5,8.5,28.5,18.6,27.8,9.1,87,34,7.7,10,0,0,14,17.9,21,35,27.1,24.5,0.4,1.4,-0.7
1/6/1989,2.2,3.8,9.7,0,CA,SW,1.3,11,10.8,26.5,17.6,29.3,10.5,97,37,9.6,9.7,0,0,15.4,18.9,21.5,34,27,23.8,0.5,0.8,2.8
1/7/1989,2.1,3.2,9.2,0,CA,N,1.8,14,13.5,19.4,17.3,27.7,12.8,94,80,11,14,0,0,17.7,20.1,22.4,26.7,25.4,24,1.2,1.2,8.3
1/8/1989,2.9,2.6,3.2,4,CA,NE,5,11.2,11,20.8,13,24.2,10.8,98,35,9.7,6.5,0,0,13,17.6,20.7,30,25.3,27.8,0.4,4.8,3.4
1/9/1989,1.2,4.4,10,0,CA,EN,4.6,10,8,22,12.8,21.2,8.3,74,28,6.9,5.5,0,0,10.4,15,18.7,29.8,24.5,21.5,1.7,0.4,-0.8
1/10/1989,2.2,3.4,10.3,0,NE,NE,6.1,9.6,7.6,23.7,13.6,22.2,9,74,25,6.6,5.6,0,0,11.2,15.2,18.5,31.6,25.2,21.4,0.6,0.2,-1.5
1/11/1989,2.1,4.5,10.4,0,EN,NN,4.2,9,6.7,23.7,13.4,23.8,8.3,70,24,6,5.3,0,0,10.7,14.7,18.4,31.2,24.9,21.2,0.7,0.1,0.1
1/12/1989,2,3.7,10.3,0,EN,NE,4.2,9.5,6.3,25.3,14.3,23.7,7.5,59,23,5.3,5.6,0,0,10.7,14.7,18.4,31.4,25.2,21.3,2,0,-1.6
1/13/1989,1.9,4.1,10.4,0,CA,NE,3.7,9.7,7.3,26.4,16.4,25.8,9,69,31,6.2,7.9,0,0,12.5,16.1,18.8,32,25.6,22,0.7,0.5,-0.6
1/14/1989,1.9,3.8,10.2,0,CA,NE,2.8,8.3,7.2,27,15.5,27,7.4,85,23,7,6.2,0,0,12.2,16.2,19.4,32.5,26.1,22.5,0.9,0.6,0
1/15/1989,2.1,3.5,10.2,0,CA,N,2.8,8.7,7.5,25.4,15,27.2,8,84,27,7.1,6.5,0,0,12.7,16.6,19.7,32.4,26.1,22.5,0.7,0.2,1.8
1/16/1989,1.9,3.7,10.2,0,NE,NN,2.6,8,7.6,26.4,16,25.5,7.8,94,28,7.6,7.3,0,0,13.2,16.9,19.7,32.5,25.9,22.6,0.2,0.1,-0.9
1/17/1989,1.9,3.7,10.2,0,EN,NW,3.2,10,8.4,26.5,16.4,26.6,9.3,79,30,7.3,7.9,0,0,13.8,17.5,20.4,34,26.5,23,0.7,0.2,0.1
1/18/1989,1.5,3.5,10.2,0,CA,W,2.5,9,8.2,25.4,14.6,26.8,8.7,89,24,7.7,5.9,0,0,13.8,17.5,20.6,32,25.6,22.8,0.3,0.3,1.4
1/19/1989,3.5,3.5,9.5,0,CA,N,2.5,7,6.4,25.4,14.3,25.4,6.7,91,23,6.9,5.5,0,0,12.5,16.6,19.6,32.4,25.5,22.4,0.3,0,0
1/20/1989,3.5,3.2,9.1,0,CA,EN,2.2,10.5,10,26.5,15.4,25.8,10.2,94,25,8.9,6.4,0,0,15,18.2,20.6,34,26.7,23.3,0.3,0.4,-0.7
1/21/1989,3.2,4.4,9.7,0,EN,EN,4.6,14.4,10.2,26.8,16.3,26.7,12.4,55,28,6.8,7.5,0,0,15.3,18.3,21,33.4,26.5,23.2,2,0.2,-0.1
